ÐòºÅ,V1,V2,label
1,-6.27 ,3.28 ,1
2,-3.78 ,3.62 ,1
3,-3.29 ,6.96 ,1
4,-4.41 ,4.97 ,1
5,2.35 ,7.20 ,3
6,4.78 ,7.52 ,3
7,-0.20 ,1.02 ,2
8,7.58 ,6.94 ,3
9,-6.31 ,5.43 ,1
10,-5.75 ,4.19 ,1
11,0.63 ,2.31 ,2
12,0.33 ,3.20 ,2
13,5.55 ,3.87 ,3
14,-2.02 ,4.90 ,1
15,7.44 ,8.76 ,3
16,-1.99 ,2.47 ,1
17,-1.43 ,2.49 ,2
18,-4.95 ,5.98 ,1
19,7.62 ,6.81 ,3
20,8.45 ,4.38 ,3
21,-4.71 ,5.20 ,1
22,3.50 ,7.00 ,3
23,-1.65 ,4.54 ,1
24,4.50 ,7.98 ,3
25,8.70 ,6.93 ,3
26,3.41 ,2.71 ,2
27,-5.58 ,2.54 ,1
28,-4.23 ,3.71 ,1
29,-2.64 ,5.58 ,1
30,-4.08 ,6.34 ,1
31,2.91 ,3.70 ,3
32,-1.53 ,4.87 ,1
33,5.13 ,8.82 ,3
34,-1.62 ,3.50 ,1
35,-0.25 ,0.58 ,2
36,-3.39 ,2.43 ,1
37,8.06 ,3.49 ,3
38,0.29 ,2.02 ,2
39,3.44 ,7.38 ,3
40,-3.85 ,2.79 ,1
41,5.31 ,3.83 ,3
42,1.65 ,4.94 ,3
43,10.56 ,3.56 ,3
44,-0.04 ,1.24 ,2
45,1.37 ,3.14 ,2
46,0.91 ,4.69 ,2
47,0.62 ,0.75 ,2
48,-5.30 ,1.94 ,1
49,10.63 ,5.21 ,3
50,-4.84 ,5.51 ,1
51,2.54 ,4.20 ,2
52,1.71 ,1.80 ,2
53,-5.11 ,4.71 ,1
54,1.10 ,0.10 ,2
55,-4.43 ,1.76 ,1
56,7.03 ,6.71 ,3
57,0.31 ,-0.12 ,2
58,6.73 ,5.04 ,3
59,8.47 ,8.80 ,3
60,7.29 ,9.47 ,3
61,1.41 ,2.78 ,2
62,2.68 ,2.42 ,2
63,-0.03 ,1.04 ,2
64,4.92 ,7.83 ,3
65,6.64 ,8.04 ,3
66,1.27 ,0.44 ,2
67,1.66 ,1.58 ,2
68,-3.90 ,5.53 ,1
69,2.56 ,6.91 ,3
70,-4.52 ,3.12 ,1
71,4.44 ,5.48 ,3
72,4.00 ,3.20 ,2
73,6.61 ,4.31 ,3
74,-3.03 ,5.46 ,1
75,1.40 ,1.23 ,2
76,-5.38 ,3.05 ,1
77,-4.98 ,3.35 ,1
78,-6.31 ,4.77 ,1
79,2.49 ,2.27 ,3
80,-0.94 ,1.97 ,2
81,-4.28 ,2.75 ,1
82,0.24 ,0.44 ,2
83,-6.93 ,5.48 ,1
84,2.25 ,1.45 ,2
85,-3.96 ,4.31 ,1
86,0.42 ,0.95 ,2
87,2.78 ,7.21 ,3
88,-5.97 ,4.61 ,1
89,1.77 ,2.97 ,2
90,7.01 ,4.58 ,3
91,3.25 ,2.84 ,3
92,2.86 ,1.72 ,2
93,5.85 ,3.83 ,3
94,2.63 ,1.69 ,2
95,5.44 ,8.15 ,3
96,-4.60 ,2.64 ,1
97,-1.54 ,3.00 ,1
98,6.91 ,7.14 ,3
99,1.89 ,2.21 ,2
100,1.34 ,3.65 ,2
101,1.08 ,2.37 ,2
102,1.91 ,2.63 ,2
103,3.16 ,6.58 ,3
104,-5.16 ,3.89 ,1
105,-3.17 ,4.93 ,1
106,2.75 ,0.97 ,2
107,4.58 ,6.26 ,3
108,1.05 ,2.78 ,2
109,-0.70 ,2.43 ,2
110,1.24 ,3.09 ,2
111,-7.18 ,7.26 ,1
112,6.83 ,5.77 ,3
113,-0.56 ,2.01 ,2
114,1.10 ,3.15 ,2
115,-4.62 ,2.66 ,1
116,7.03 ,7.67 ,3
117,7.84 ,6.54 ,3
118,-3.89 ,7.15 ,1
119,-5.56 ,4.76 ,1
120,0.35 ,3.24 ,2
121,9.75 ,10.11 ,3
122,1.39 ,3.66 ,2
123,2.84 ,0.21 ,2
124,-4.12 ,4.68 ,1
125,6.67 ,3.10 ,3
126,-2.43 ,3.04 ,1
127,3.07 ,9.69 ,3
128,2.56 ,1.45 ,2
129,0.30 ,0.96 ,2
130,1.82 ,2.86 ,2
131,-3.86 ,2.34 ,1
132,-4.22 ,5.42 ,1
133,6.36 ,7.36 ,3
134,-3.43 ,4.51 ,1
135,0.31 ,2.01 ,2
136,-3.34 ,2.79 ,1
137,-4.11 ,4.23 ,1
138,-0.17 ,0.56 ,2
139,-2.19 ,1.76 ,1
140,-5.89 ,6.46 ,1
141,1.36 ,2.78 ,2
142,-4.44 ,2.66 ,1
143,-0.96 ,5.32 ,1
144,-7.27 ,5.04 ,1
145,-1.19 ,-0.86 ,2
146,6.40 ,5.03 ,3
147,-3.69 ,5.70 ,1
148,7.33 ,6.50 ,3
149,-3.53 ,-0.36 ,1
150,2.42 ,2.55 ,2
151,0.74 ,3.43 ,3
152,2.42 ,8.82 ,3
153,1.16 ,1.94 ,2
154,1.55 ,1.05 ,2
155,9.27 ,7.70 ,3
156,-6.81 ,2.49 ,1
157,5.89 ,4.53 ,3
158,7.10 ,8.00 ,3
159,-4.59 ,4.80 ,1
160,5.39 ,7.18 ,3
161,1.10 ,1.53 ,2
162,-4.83 ,5.31 ,1
163,2.91 ,3.49 ,3
164,10.41 ,6.46 ,3
165,8.35 ,4.67 ,3
166,0.32 ,1.81 ,2
167,-3.94 ,5.85 ,1
168,1.15 ,0.57 ,2
169,5.91 ,4.73 ,3
170,2.42 ,8.25 ,3
171,6.24 ,5.38 ,3
172,1.79 ,2.00 ,2
173,1.48 ,1.18 ,2
174,-7.15 ,4.26 ,1
175,2.82 ,2.66 ,2
176,4.17 ,8.32 ,3
177,-5.89 ,6.40 ,1
178,7.03 ,9.55 ,3
179,-3.75 ,5.26 ,1
180,0.83 ,2.15 ,2
181,6.97 ,10.90 ,3
182,0.05 ,2.66 ,2
183,4.14 ,2.54 ,2
184,8.66 ,4.14 ,3
185,5.33 ,5.82 ,3
186,1.71 ,2.59 ,2
187,-6.77 ,3.02 ,1
188,-3.67 ,5.57 ,1
189,1.13 ,-0.14 ,2
190,5.91 ,5.84 ,3
191,7.13 ,6.35 ,3
192,-3.33 ,3.32 ,1
193,6.45 ,5.40 ,3
194,2.96 ,4.06 ,2
195,2.06 ,4.67 ,2
196,1.79 ,3.78 ,2
197,0.39 ,1.21 ,2
198,-7.23 ,2.50 ,1
199,-6.49 ,4.42 ,1
200,8.31 ,6.40 ,3
201,5.67 ,8.81 ,3
202,-2.92 ,3.19 ,1
203,0.33 ,3.46 ,2
204,0.11 ,2.50 ,2
205,-5.60 ,3.15 ,1
206,5.12 ,3.30 ,3
207,1.47 ,7.32 ,3
208,-3.57 ,2.72 ,1
209,-4.48 ,3.84 ,1
210,0.74 ,3.19 ,2
211,-5.00 ,3.15 ,1
212,0.16 ,2.27 ,2
213,2.03 ,2.90 ,2
214,6.84 ,8.67 ,3
215,3.71 ,5.72 ,3
216,-0.60 ,1.49 ,1
217,-3.36 ,3.32 ,1
218,7.69 ,6.90 ,3
219,-0.19 ,2.00 ,2
220,2.05 ,2.51 ,2
221,1.70 ,1.70 ,2
222,2.07 ,0.96 ,2
223,-0.36 ,0.49 ,2
